image_name,x1,y1,x2,y2
0012.jpg,371,288,486,516
0006.jpg,354,287,458,517
0007.jpg,356,288,463,517
0013.jpg,375,284,489,516
0005.jpg,352,286,456,517
0011.jpg,370,290,481,518
0039.jpg,495,269,551,457
0038.jpg,492,269,549,459
0010.jpg,369,291,477,518
0004.jpg,349,287,453,517
0028.jpg,459,297,539,469
0000.jpg,344,310,456,519
0014.jpg,381,277,491,518
0015.jpg,391,270,495,516
0001.jpg,344,300,453,518
0029.jpg,462,294,539,466
0017.jpg,397,275,493,508
0003.jpg,346,289,454,517
0002.jpg,346,293,453,518
0016.jpg,398,268,493,513
0033.jpg,471,277,554,466
0027.jpg,458,297,536,470
0026.jpg,454,297,541,467
0032.jpg,469,282,547,467
0024.jpg,446,284,536,475
0030.jpg,464,291,531,468
0018.jpg,398,299,497,501
0019.jpg,405,303,503,494
0031.jpg,466,286,549,467
0025.jpg,448,293,544,478
0009.jpg,364,291,472,519
0021.jpg,429,251,522,486
0035.jpg,478,270,570,459
0034.jpg,474,273,574,462
0020.jpg,417,293,512,492
0008.jpg,360,290,467,517
0036.jpg,482,269,562,461
0022.jpg,437,226,533,481
0023.jpg,440,252,535,477
0037.jpg,487,269,551,461
0042.jpg,503,262,559,443
0041.jpg,501,265,556,443
0040.jpg,498,268,554,454
