image_name,x1,y1,x2,y2
0071.jpg,765,459,811,601
0065.jpg,803,464,876,595
0059.jpg,868,451,928,587
0105.jpg,576,469,635,609
0105.jpg,452,99,489,174
0111.jpg,562,474,624,612
0111.jpg,455,96,490,174
0110.jpg,563,474,629,613
0110.jpg,454,96,489,174
0104.jpg,588,468,635,609
0058.jpg,863,453,951,586
0064.jpg,826,459,877,592
0070.jpg,765,467,834,601
0066.jpg,789,464,874,596
0072.jpg,756,455,798,599
0099.jpg,608,468,652,607
0112.jpg,560,474,617,612
0112.jpg,455,98,491,174
0106.jpg,568,469,635,609
0106.jpg,452,100,489,174
0107.jpg,565,471,635,610
0107.jpg,452,100,490,174
0113.jpg,560,475,611,613
0113.jpg,456,98,491,174
0098.jpg,611,467,658,608
0073.jpg,747,453,793,597
0067.jpg,775,470,873,600
0063.jpg,825,463,885,587
0077.jpg,702,463,768,599
0088.jpg,640,465,695,609
0088.jpg,785,105,815,173
0117.jpg,546,476,590,611
0117.jpg,456,97,493,174
0103.jpg,594,467,634,609
0102.jpg,598,468,637,609
0116.jpg,550,475,592,611
0116.jpg,456,97,492,174
0089.jpg,643,466,690,610
0089.jpg,786,104,815,173
0076.jpg,709,456,774,597
0062.jpg,836,454,897,579
0048.jpg,949,452,1036,577
0074.jpg,721,453,788,599
0060.jpg,848,454,921,583
0100.jpg,605,468,647,608
0114.jpg,557,475,602,612
0114.jpg,456,98,491,174
0115.jpg,553,475,594,612
0115.jpg,456,97,491,174
0101.jpg,601,469,640,608
0061.jpg,855,454,912,577
0075.jpg,720,454,781,597
0049.jpg,943,452,1032,576
0012.jpg,867,484,967,607
0006.jpg,884,476,968,607
0007.jpg,879,476,967,606
0013.jpg,866,482,972,606
0005.jpg,887,475,972,609
0011.jpg,868,485,963,607
0039.jpg,989,460,1083,580
0038.jpg,992,430,1082,580
0010.jpg,868,481,963,607
0004.jpg,888,476,974,611
0028.jpg,971,455,1027,573
0000.jpg,887,487,975,615
0014.jpg,866,481,974,606
0015.jpg,865,481,978,606
0001.jpg,887,484,976,615
0029.jpg,978,441,1049,580
0017.jpg,878,478,984,606
0003.jpg,887,479,974,614
0002.jpg,887,483,975,615
0016.jpg,867,477,986,606
0033.jpg,992,450,1080,581
0027.jpg,967,457,1020,572
0026.jpg,961,454,1013,575
0032.jpg,992,447,1077,581
0024.jpg,953,454,1005,602
0030.jpg,986,441,1056,580
0018.jpg,886,469,985,606
0019.jpg,891,476,992,606
0031.jpg,992,443,1068,581
0025.jpg,958,454,1008,583
0009.jpg,868,480,963,606
0021.jpg,909,466,1010,604
0035.jpg,999,450,1081,580
0034.jpg,997,455,1082,581
0020.jpg,896,479,1002,605
0008.jpg,871,476,964,606
0036.jpg,996,442,1081,580
0022.jpg,929,461,1008,604
0023.jpg,947,456,1005,604
0037.jpg,990,435,1082,581
0050.jpg,938,451,1028,575
0044.jpg,966,459,1072,578
0078.jpg,689,473,758,601
0093.jpg,630,463,666,608
0093.jpg,456,98,496,174
0087.jpg,640,464,702,609
0086.jpg,642,461,705,608
0086.jpg,786,106,816,173
0092.jpg,635,463,668,608
0092.jpg,456,98,496,174
0079.jpg,689,467,747,603
0045.jpg,969,456,1061,579
0051.jpg,934,454,1012,576
0047.jpg,954,455,1039,577
0053.jpg,915,456,986,579
0053.jpg,784,112,815,173
0084.jpg,653,459,710,606
0090.jpg,641,465,680,610
0090.jpg,456,99,496,175
0091.jpg,637,466,672,609
0091.jpg,456,98,496,175
0085.jpg,645,460,709,607
0052.jpg,928,456,996,577
0046.jpg,959,456,1050,578
0042.jpg,976,466,1081,579
0056.jpg,889,454,976,584
0081.jpg,685,463,727,602
0095.jpg,615,462,664,608
0095.jpg,456,98,495,174
0094.jpg,622,463,665,609
0094.jpg,456,99,494,174
0080.jpg,689,468,738,602
0057.jpg,864,456,966,585
0043.jpg,969,475,1077,578
0069.jpg,771,474,850,602
0055.jpg,878,457,985,584
0041.jpg,981,428,1083,580
0096.jpg,613,463,661,607
0096.jpg,456,98,495,175
0082.jpg,679,460,719,605
0109.jpg,564,473,632,612
0109.jpg,453,99,490,174
0108.jpg,564,473,634,611
0083.jpg,670,459,713,600
0097.jpg,612,465,660,609
0040.jpg,985,443,1082,580
0054.jpg,910,464,986,581
0068.jpg,771,473,864,602
